SerialNumber,ProductID,ProductName,PurchaseDate,CustomerID,QuantitySold,SalesPrice,SalesChannel,Region,DiscountApplied,Returns,CustomerReview,CustomerComplaints,SalesReputation,TimeToActivation,ProductAge,MarketingSource,CustomerLoyalty,PaymentMethod,ProductReturnReason,CustomerSupportInteraction,ProductWarrantyDuration
Sn-LB227IC3,TII8B4,Adobe_TII8B4_Suite,2023-11-16,C6854,9,77.94,Unknown Vendor,Asia,21.22,13,2,16,8,14,248,Word of Mouth,1,Cryptocurrency,Not as described,14,6
SN-OOYEQXVS,Adobe_Prod_178_Version_3,Adobe_Adobe_Prod_178_Version_3_Suite,2023-09-03,C8725,8,371.25,Direct Sales,Asia,13.64,8,5,3,2,7,406,Email Marketing,9,PayPal,Found cheaper,5,12
SN-60MSXVNO,Adobe_Prod_556_Version_7,Adobe_Adobe_Prod_556_Version_7_Suite,2023-04-05,C8607,2,343.06,Authorized Retailer,Africa,5.53,1,4,2,3,7,612,Email Marketing,9,PayPal,Other,6,24
SNWJVZ5156P,RQLKP2,Adobe_RQLKP2_Suite,2023-05-05,C2340,5,135.01,Unknown Vendor,Europe,25.41,17,3,10,7,8,168,Word of Mouth,3,Cryptocurrency,Product malfunction,13,6
SNATB80E1JQ,FL9ONH,Adobe_FL9ONH_Suite,2023-03-31,C2325,8,129.92,Unknown Vendor,South America,25.96,19,3,14,8,2,272,Word of Mouth,5,Cryptocurrency,Other,10,6
Sn-OCAS3X7T,F840U0,Adobe_F840U0_Suite,2023-05-16,C7004,9,129.23,Unknown Vendor,Europe,28.11,15,3,18,7,7,277,Social Media,1,Cryptocurrency,Other,16,6
Sn-S68YY9W3,14HILJ,Adobe_14HILJ_Suite,2023-06-21,C2655,3,133.22,Third-party Retailer,Europe,28.01,17,3,16,1,11,44,Social Media,2,Cryptocurrency,Other,14,6
SN-SLFJHKC,1BS3N5,Adobe_1BS3N5_Suite,2023-07-18,C6709,10,67.77,Unknown Vendor,Africa,21.08,18,2,17,1,5,343,Social Media,4,Cryptocurrency,Other,14,6
SN-N2FJZGJI,Adobe_Prod_786_Version_8,Adobe_Adobe_Prod_786_Version_8_Suite,2023-07-22,C5332,3,235.97,Direct Sales,North America,7.37,3,4,4,2,6,692,Direct Search,6,Credit Card,Other,9,12
SN-Q22VI4KH,Adobe_Prod_535_Version_8,Adobe_Adobe_Prod_535_Version_8_Suite,2023-04-27,C9130,3,449.32,Direct Sales,Africa,14.65,9,5,5,2,6,685,Email Marketing,7,Credit Card,Found cheaper,4,12
SN-775WS61,FB1B7F,Adobe_FB1B7F_Suite,2023-09-26,C9588,8,64.68,Unknown Vendor,North America,20.82,16,1,14,8,4,155,Social Media,1,Cryptocurrency,Other,18,6
SN-87PSWLS,JHD5G7,Adobe_JHD5G7_Suite,2023-03-04,C3745,2,76.43,Unknown Vendor,Europe,28.79,11,3,19,7,13,348,Social Media,2,Cryptocurrency,Other,18,6
SN-V58WVO4,C8FSYZ,Adobe_C8FSYZ_Suite,2023-07-03,C4115,9,143.1,Unknown Vendor,Africa,21.58,11,2,11,8,1,83,Word of Mouth,2,Cryptocurrency,Product malfunction,18,6
SN-CDWKZHF3,Adobe_Prod_719_Version_1,Adobe_Adobe_Prod_719_Version_1_Suite,2023-10-28,C3402,2,268.88,Direct Sales,Africa,11.27,5,5,1,2,1,555,Direct Search,8,PayPal,Found cheaper,1,24
SNGIZMMV02F,3U2X5I,Adobe_3U2X5I_Suite,2023-03-25,C7592,9,133.38,Third-party Retailer,North America,29.32,18,1,18,3,13,81,Word of Mouth,3,Cryptocurrency,Other,10,6
SN-4E97K7Z,Y1JWQ9,Adobe_Y1JWQ9_Suite,2023-04-26,C6178,5,97.87,Authorized Retailer,Asia,20.63,19,3,18,2,5,72,Social Media,5,Cryptocurrency,Not as described,12,6
SNSBCXTIVHK,JFTI9H,Adobe_JFTI9H_Suite,2023-03-19,C5264,3,76.11,Third-party Retailer,South America,28.24,14,3,11,2,5,175,Word of Mouth,3,Cryptocurrency,Other,10,6
SN-GTG3L9HJ,Adobe_Prod_579_Version_1,Adobe_Adobe_Prod_579_Version_1_Suite,2023-02-23,C8949,3,347.97,Unknown Vendor,South America,12.16,1,5,3,7,6,528,Direct Search,8,PayPal,Found cheaper,6,12
SN-W6EOKB0G,Adobe_Prod_798_Version_2,Adobe_Adobe_Prod_798_Version_2_Suite,2023-01-17,C1909,8,238.6,Authorized Retailer,Africa,7.29,3,4,3,2,4,569,Email Marketing,7,Credit Card,Found cheaper,8,12
SN-VZMPYMJS,Adobe_Prod_42_Version_10,Adobe_Adobe_Prod_42_Version_10_Suite,2023-04-02,C1426,2,287.61,Third-party Retailer,South America,10.74,8,4,4,2,2,540,Email Marketing,7,Credit Card,Other,2,24
SN-LUJIR9R,QPWDYM,Adobe_QPWDYM_Suite,2023-05-05,C8230,10,81.71,Third-party Retailer,Asia,23.38,15,1,13,8,14,70,Word of Mouth,1,Cryptocurrency,Product malfunction,15,6
SN-9BX4XBO2,Adobe_Prod_486_Version_9,Adobe_Adobe_Prod_486_Version_9_Suite,2023-05-21,C3789,4,489.03,Direct Sales,Asia,12.76,8,4,4,3,4,599,Direct Search,10,Credit Card,Other,8,12
SN-27D206LS,Adobe_Prod_14_Version_5,Adobe_Adobe_Prod_14_Version_5_Suite,2023-10-15,C5943,1,305.56,Direct Sales,North America,7.88,3,5,1,1,5,486,Direct Search,7,PayPal,Found cheaper,5,24
SN-WCTZM849,Adobe_Prod_410_Version_4,Adobe_Adobe_Prod_410_Version_4_Suite,2023-05-12,C9217,8,342.19,Direct Sales,South America,5.85,10,4,2,2,7,730,Email Marketing,10,Credit Card,Other,2,12
SN-W71UVEJW,Adobe_Prod_337_Version_8,Adobe_Adobe_Prod_337_Version_8_Suite,2023-07-02,C2989,2,432.26,Authorized Retailer,Europe,5.25,4,4,3,1,3,460,Direct Search,10,Credit Card,Found cheaper,3,12
SN-D63FW1EY,Adobe_Prod_100_Version_3,Adobe_Adobe_Prod_100_Version_3_Suite,2023-01-20,C7709,6,490.43,Authorized Retailer,Europe,14.97,6,4,3,7,7,544,Direct Search,7,PayPal,Other,5,12
Sn-MOQAVOCR,JGKPQO,Adobe_JGKPQO_Suite,2023-06-19,C9451,5,107.64,Unknown Vendor,North America,20.26,15,3,13,3,7,348,Word of Mouth,2,Cryptocurrency,Not as described,16,6
SN-G6R78FF,1LF7BC,Adobe_1LF7BC_Suite,2023-10-20,C7906,5,93.89,Unknown Vendor,Asia,21.59,13,1,16,1,2,332,Social Media,5,Cryptocurrency,Not as described,19,6
Sn-7ERZH9WL,SQ26VV,Adobe_SQ26VV_Suite,2023-07-04,C1252,4,63.64,Unknown Vendor,Africa,25.41,18,3,19,7,6,349,Word of Mouth,2,Cryptocurrency,Not as described,18,6
SN-KSOXCPOJ,Adobe_Prod_867_Version_2,Adobe_Adobe_Prod_867_Version_2_Suite,2023-08-28,C2550,10,332.42,Direct Sales,Asia,14.2,4,4,3,8,7,680,Direct Search,6,Credit Card,Found cheaper,6,24
Sn-QXZMN72P,1VKGZG,Adobe_1VKGZG_Suite,2023-09-20,C5252,6,117.81,Unknown Vendor,North America,27.84,12,2,12,9,7,111,Social Media,1,Cryptocurrency,Other,13,6
SN-OTUZF9T4,Adobe_Prod_271_Version_7,Adobe_Adobe_Prod_271_Version_7_Suite,2023-03-10,C9164,3,258.9,Direct Sales,North America,11.9,1,4,1,9,2,496,Direct Search,9,PayPal,Other,9,24
Sn-FOW5J4TK,R6SW1X,Adobe_R6SW1X_Suite,2023-05-24,C4633,2,149.54,Unknown Vendor,Asia,22.25,10,1,20,3,10,224,Word of Mouth,2,Cryptocurrency,Not as described,16,6
SN-YG4U72J4,Adobe_Prod_833_Version_10,Adobe_Adobe_Prod_833_Version_10_Suite,2023-09-11,C8803,5,352.79,Direct Sales,Europe,11.57,10,5,1,9,2,571,Direct Search,10,Credit Card,Other,4,24
SN2AI7TNIUI,J8LXI0,Adobe_J8LXI0_Suite,2023-10-11,C1531,2,104.46,Unknown Vendor,Europe,21.45,12,1,12,2,6,49,Social Media,2,Cryptocurrency,Not as described,17,6
SN-4A7HT886,Adobe_Prod_146_Version_9,Adobe_Adobe_Prod_146_Version_9_Suite,2023-03-12,C4529,2,200.08,Third-party Retailer,Asia,6.41,4,4,3,3,1,680,Direct Search,7,PayPal,Found cheaper,7,24
SN-XT35EG5I,Adobe_Prod_991_Version_4,Adobe_Adobe_Prod_991_Version_4_Suite,2023-07-10,C9851,2,441.35,Authorized Retailer,South America,10.38,3,4,4,3,5,715,Email Marketing,10,PayPal,Other,3,24
SNASWSXWLHD,SGM7QO,Adobe_SGM7QO_Suite,2023-06-17,C1661,6,63.17,Unknown Vendor,Asia,20.21,11,2,12,3,12,264,Word of Mouth,3,Cryptocurrency,Not as described,12,6
Sn-W59N7VF1,LGWBGI,Adobe_LGWBGI_Suite,2023-07-27,C4755,2,137.34,Third-party Retailer,North America,21.79,14,1,15,9,13,171,Social Media,4,Cryptocurrency,Other,14,6
SNZTK785BVW,XUL7GV,Adobe_XUL7GV_Suite,2023-06-03,C9888,10,127.39,Unknown Vendor,South America,22.19,17,1,15,3,7,150,Social Media,3,Cryptocurrency,Not as described,15,6
SNDJO7VX3WI,5PR1PD,Adobe_5PR1PD_Suite,2023-10-09,C4957,5,121.13,Unknown Vendor,Asia,24.07,12,1,16,7,6,54,Word of Mouth,1,Cryptocurrency,Not as described,10,6
SN4RLYGBZWE,VIZ6QY,Adobe_VIZ6QY_Suite,2023-07-09,C3056,7,91.2,Third-party Retailer,South America,26.67,20,1,14,1,11,347,Social Media,5,Cryptocurrency,Not as described,14,6
SN5LJYKPX5F,G9ER9W,Adobe_G9ER9W_Suite,2023-07-29,C3031,5,88.39,Third-party Retailer,North America,24.74,13,2,13,1,13,39,Word of Mouth,4,Cryptocurrency,Not as described,10,6
Sn-0DHLPEZJ,5S6ZJ1,Adobe_5S6ZJ1_Suite,2023-04-03,C8848,5,124.9,Authorized Retailer,North America,20.61,12,3,10,9,11,317,Social Media,4,Cryptocurrency,Product malfunction,18,6
Sn-5WWSX1F0,TL8DMX,Adobe_TL8DMX_Suite,2023-12-17,C2889,3,82.07,Unknown Vendor,North America,21.41,13,1,14,1,10,77,Word of Mouth,5,Cryptocurrency,Not as described,16,6
SN-O857OA9L,Adobe_Prod_606_Version_7,Adobe_Adobe_Prod_606_Version_7_Suite,2023-04-19,C4308,8,343.01,Authorized Retailer,North America,8.41,8,5,1,1,7,516,Direct Search,6,PayPal,Found cheaper,1,24
SN-WFQGRXCN,Adobe_Prod_706_Version_9,Adobe_Adobe_Prod_706_Version_9_Suite,2023-07-29,C5272,10,495.14,Direct Sales,Europe,7.83,3,5,5,8,6,544,Direct Search,10,PayPal,Found cheaper,1,12
SN-EIHJWDS6,Adobe_Prod_808_Version_6,Adobe_Adobe_Prod_808_Version_6_Suite,2023-08-14,C9851,10,205.98,Authorized Retailer,South America,14.49,6,5,2,3,1,567,Direct Search,9,PayPal,Other,9,24
SN-6QH0HDKI,Adobe_Prod_458_Version_10,Adobe_Adobe_Prod_458_Version_10_Suite,2023-12-07,C9489,6,214.71,Authorized Retailer,South America,9.89,10,5,1,8,3,632,Direct Search,6,PayPal,Other,2,24
SN-2CMD6BJ5,Adobe_Prod_364_Version_2,Adobe_Adobe_Prod_364_Version_2_Suite,2023-09-16,C8140,4,233.53,Authorized Retailer,Asia,14.38,3,4,3,3,7,387,Direct Search,8,PayPal,Found cheaper,1,12
SN-1XRARAQV,Adobe_Prod_701_Version_5,Adobe_Adobe_Prod_701_Version_5_Suite,2023-01-06,C5287,8,285.47,Authorized Retailer,South America,7.17,3,5,3,3,2,398,Direct Search,10,PayPal,Other,2,24
SN-ENRJKWZJ,Adobe_Prod_542_Version_2,Adobe_Adobe_Prod_542_Version_2_Suite,2023-10-12,C5793,4,393.85,Direct Sales,Asia,14.97,8,4,5,8,6,401,Email Marketing,7,PayPal,Other,10,24
SN-2LEBIKE,CDQ56B,Adobe_CDQ56B_Suite,2023-01-15,C9606,10,139.48,Unknown Vendor,South America,20.18,19,1,13,1,4,196,Word of Mouth,1,Cryptocurrency,Other,13,6
SNJE8UYH31D,T5TM21,Adobe_T5TM21_Suite,2023-02-17,C9226,7,146.74,Unknown Vendor,South America,23.5,13,1,10,7,6,75,Word of Mouth,2,Cryptocurrency,Other,19,6
SN-67AEXW7,2E87CT,Adobe_2E87CT_Suite,2023-08-28,C6007,2,142.61,Unknown Vendor,Africa,29.23,12,3,20,2,2,135,Word of Mouth,4,Cryptocurrency,Product malfunction,19,6
SN-0GYC3KP,0TSESM,Adobe_0TSESM_Suite,2023-08-18,C8538,1,75.95,Direct Sales,South America,25.53,18,3,10,3,3,91,Social Media,2,Cryptocurrency,Not as described,15,6
SN-9RM9I9MF,Adobe_Prod_654_Version_4,Adobe_Adobe_Prod_654_Version_4_Suite,2023-09-27,C3437,2,326.39,Direct Sales,North America,14.07,6,5,4,9,5,561,Email Marketing,10,PayPal,Found cheaper,7,12
SN-VZ1ZIZM,RBD94S,Adobe_RBD94S_Suite,2023-06-05,C7755,4,63.85,Third-party Retailer,North America,22.7,11,3,18,1,1,36,Word of Mouth,3,Cryptocurrency,Not as described,20,6
Sn-S1S5RW2O,YV0HNK,Adobe_YV0HNK_Suite,2023-11-18,C9336,8,70.41,Unknown Vendor,Asia,25.15,10,2,15,8,15,99,Social Media,4,Cryptocurrency,Not as described,18,6
SN-7TPOE67U,Adobe_Prod_289_Version_7,Adobe_Adobe_Prod_289_Version_7_Suite,2023-03-24,C8472,1,390.91,Unknown Vendor,South America,8.3,3,4,1,2,1,567,Direct Search,8,PayPal,Found cheaper,8,24
SN-9Q0E6FNG,Adobe_Prod_983_Version_6,Adobe_Adobe_Prod_983_Version_6_Suite,2023-03-04,C8027,1,416.05,Authorized Retailer,South America,10.3,5,5,5,7,4,667,Direct Search,9,Credit Card,Other,8,24
SN-RBPKTVRV,Adobe_Prod_206_Version_7,Adobe_Adobe_Prod_206_Version_7_Suite,2023-07-02,C4592,9,247.06,Authorized Retailer,Asia,11.31,10,4,1,3,2,629,Direct Search,6,Credit Card,Other,5,24
SN-7CUOPKR9,Adobe_Prod_918_Version_1,Adobe_Adobe_Prod_918_Version_1_Suite,2023-12-29,C6087,8,407.21,Authorized Retailer,North America,11.36,2,4,4,2,4,455,Email Marketing,9,PayPal,Found cheaper,9,24
Sn-J2VH9F0X,TNIXSG,Adobe_TNIXSG_Suite,2023-01-08,C9809,5,53.44,Unknown Vendor,Asia,26.8,15,3,13,1,8,229,Word of Mouth,4,Cryptocurrency,Product malfunction,19,6
SN-OG4EVC2A,Adobe_Prod_974_Version_5,Adobe_Adobe_Prod_974_Version_5_Suite,2023-12-13,C7597,1,458.75,Authorized Retailer,South America,12.49,6,5,3,2,6,511,Direct Search,10,Credit Card,Other,4,24
SN-8OH6ROCN,Adobe_Prod_895_Version_4,Adobe_Adobe_Prod_895_Version_4_Suite,2023-06-18,C8232,8,343.82,Direct Sales,Africa,6.71,6,5,4,2,2,652,Direct Search,10,PayPal,Other,2,24
SN-BEKOKQ9W,Adobe_Prod_415_Version_2,Adobe_Adobe_Prod_415_Version_2_Suite,2023-02-25,C7289,3,204.52,Direct Sales,Asia,10.48,5,5,2,1,1,404,Email Marketing,6,Credit Card,Other,8,12
SN-WPGBTHR6,Adobe_Prod_18_Version_8,Adobe_Adobe_Prod_18_Version_8_Suite,2023-08-25,C1975,10,334.09,Direct Sales,Europe,10.69,2,4,3,1,6,719,Email Marketing,10,Credit Card,Other,1,24
SNRBUHPSCCJ,RMZTHJ,Adobe_RMZTHJ_Suite,2023-11-17,C5487,9,132.96,Unknown Vendor,Asia,23.62,18,3,16,8,11,161,Word of Mouth,4,Cryptocurrency,Not as described,15,6
Sn-V0NV5SFW,PMWJP8,Adobe_PMWJP8_Suite,2023-12-22,C2936,8,128.73,Third-party Retailer,Europe,21.32,11,1,13,7,1,325,Social Media,4,Cryptocurrency,Other,13,6
SNPBPAJ1X3U,SZ8M2P,Adobe_SZ8M2P_Suite,2023-07-10,C8267,4,75.38,Unknown Vendor,South America,26.67,18,3,17,7,10,49,Social Media,2,Cryptocurrency,Product malfunction,18,6
SN-MEVE6D4X,Adobe_Prod_495_Version_10,Adobe_Adobe_Prod_495_Version_10_Suite,2023-01-20,C3500,5,205.81,Direct Sales,North America,8.91,9,5,2,3,1,605,Email Marketing,10,PayPal,Found cheaper,7,24
Sn-WDGB1CZ0,UNQ3M1,Adobe_UNQ3M1_Suite,2023-02-08,C7748,4,61.73,Third-party Retailer,North America,24.43,11,1,17,3,1,182,Social Media,1,Cryptocurrency,Not as described,19,6
Sn-BWIAS34Y,BQHI45,Adobe_BQHI45_Suite,2023-11-11,C3302,8,141.21,Unknown Vendor,South America,29.67,20,3,20,2,1,277,Word of Mouth,1,Cryptocurrency,Product malfunction,14,6
SN-GZFLS6D4,Adobe_Prod_796_Version_10,Adobe_Adobe_Prod_796_Version_10_Suite,2023-03-08,C4172,10,499.77,Direct Sales,North America,11.76,6,4,3,8,6,514,Direct Search,7,Credit Card,Found cheaper,8,24
SN-ZIU1UYYT,Adobe_Prod_313_Version_8,Adobe_Adobe_Prod_313_Version_8_Suite,2023-12-23,C7573,4,448.62,Authorized Retailer,South America,12.76,8,4,5,9,6,641,Email Marketing,10,Credit Card,Other,2,12
SN-ZK1QNPR1,Adobe_Prod_733_Version_1,Adobe_Adobe_Prod_733_Version_1_Suite,2023-11-18,C3473,9,469.93,Authorized Retailer,Europe,11.16,4,4,1,8,5,620,Direct Search,10,PayPal,Found cheaper,7,12
SNIRTWMM976,13QVGL,Adobe_13QVGL_Suite,2023-05-20,C6911,3,122.82,Third-party Retailer,North America,25.14,17,2,12,8,5,300,Social Media,3,Cryptocurrency,Not as described,15,6
Sn-RCJMMTKR,M0PWSE,Adobe_M0PWSE_Suite,2023-10-08,C8164,7,88.69,Third-party Retailer,Asia,20.67,11,2,10,7,9,275,Social Media,5,Cryptocurrency,Other,11,6
SNI5FRCNSKI,YPLPJT,Adobe_YPLPJT_Suite,2023-05-06,C5142,3,103.68,Third-party Retailer,Africa,22.28,14,1,14,3,7,82,Social Media,2,Cryptocurrency,Other,18,6
Sn-NF9ZLZZ4,0SKBMJ,Adobe_0SKBMJ_Suite,2023-12-27,C2074,7,83.46,Third-party Retailer,Asia,20.77,16,3,17,9,14,88,Social Media,4,Cryptocurrency,Not as described,18,6
SN-1GPRIIRO,Adobe_Prod_551_Version_9,Adobe_Adobe_Prod_551_Version_9_Suite,2023-04-04,C9647,1,310.01,Authorized Retailer,North America,10.06,8,5,2,2,6,683,Email Marketing,7,Credit Card,Other,4,24
SN-MS5WVCO5,Adobe_Prod_865_Version_9,Adobe_Adobe_Prod_865_Version_9_Suite,2023-07-14,C1133,7,476.29,Authorized Retailer,South America,9.65,8,4,5,9,5,600,Email Marketing,9,PayPal,Other,4,12
Sn-QN7DKX0N,SES76V,Adobe_SES76V_Suite,2023-07-10,C5150,8,59.53,Unknown Vendor,Africa,27.64,20,3,15,9,1,190,Social Media,5,Cryptocurrency,Product malfunction,13,6
Sn-6DDOYDUZ,S5AZDI,Adobe_S5AZDI_Suite,2023-09-15,C5102,6,73.93,Third-party Retailer,Africa,26.53,18,2,15,2,12,105,Social Media,5,Cryptocurrency,Other,14,6
SNNKLH1QN97,A6YATC,Adobe_A6YATC_Suite,2023-07-28,C4347,10,133.18,Third-party Retailer,Asia,24.51,13,1,18,8,4,166,Social Media,5,Cryptocurrency,Other,20,6
SN-V6VN375W,Adobe_Prod_506_Version_8,Adobe_Adobe_Prod_506_Version_8_Suite,2023-10-24,C1047,6,420.21,Authorized Retailer,Africa,8.03,4,5,1,2,1,514,Email Marketing,6,Credit Card,Other,5,24
SN-URBLKX4J,Adobe_Prod_438_Version_1,Adobe_Adobe_Prod_438_Version_1_Suite,2023-09-11,C4770,3,444.09,Direct Sales,North America,6.67,5,5,3,9,1,459,Direct Search,7,PayPal,Found cheaper,1,24
SN-6OARXHX,147C9E,Adobe_147C9E_Suite,2023-12-19,C9073,9,102.48,Unknown Vendor,Africa,22.71,15,1,20,9,1,198,Word of Mouth,2,Cryptocurrency,Other,17,6
Sn-4W04V6UE,O8F4OT,Adobe_O8F4OT_Suite,2023-03-17,C8029,5,80.48,Third-party Retailer,Europe,27.49,11,1,15,7,13,74,Social Media,2,Cryptocurrency,Product malfunction,11,6
SN-DVLTKU6,1MKWSL,Adobe_1MKWSL_Suite,2023-02-15,C1756,4,64.26,Third-party Retailer,South America,21.71,14,1,13,7,12,340,Word of Mouth,3,Cryptocurrency,Product malfunction,10,6
SN-9FX2M96O,Adobe_Prod_715_Version_3,Adobe_Adobe_Prod_715_Version_3_Suite,2023-08-22,C4526,3,262.48,Direct Sales,North America,12.87,7,4,2,1,3,440,Direct Search,6,Credit Card,Other,8,12
Sn-VU88T1WC,6OEWRW,Adobe_6OEWRW_Suite,2023-03-01,C9593,8,79.15,Unknown Vendor,Europe,28.88,14,2,15,1,6,167,Word of Mouth,2,Cryptocurrency,Product malfunction,14,6
SN-XMSUNSR9,Adobe_Prod_197_Version_6,Adobe_Adobe_Prod_197_Version_6_Suite,2023-08-14,C3501,8,265.23,Authorized Retailer,Europe,10.22,8,5,5,1,7,493,Email Marketing,8,Credit Card,Other,2,24
SNOMHWINLQH,48PLAF,Adobe_48PLAF_Suite,2023-08-18,C5349,7,58.96,Unknown Vendor,North America,27.36,12,3,17,9,6,119,Word of Mouth,2,Cryptocurrency,Product malfunction,11,6
Sn-0R2ZOSHW,WJIEZZ,Adobe_WJIEZZ_Suite,2023-08-20,C2486,8,115.94,Unknown Vendor,South America,26.66,19,3,15,7,2,134,Social Media,5,Cryptocurrency,Not as described,11,6
SN-9I0EXRZ,RRUIMG,Adobe_RRUIMG_Suite,2023-04-21,C9458,2,106.9,Unknown Vendor,North America,26.46,17,3,15,8,5,308,Word of Mouth,4,Cryptocurrency,Product malfunction,10,6
SN-X617GQ37,Adobe_Prod_36_Version_1,Adobe_Adobe_Prod_36_Version_1_Suite,2023-02-07,C6552,9,430.57,Authorized Retailer,South America,9.81,3,5,5,3,7,723,Email Marketing,7,Credit Card,Other,8,24
SN-9LJTF1DW,Adobe_Prod_62_Version_6,Adobe_Adobe_Prod_62_Version_6_Suite,2023-10-04,C7307,10,465.07,Direct Sales,Africa,5.06,9,4,4,2,4,372,Email Marketing,6,PayPal,Found cheaper,10,24
Sn-1SI2U8WQ,C7UZ6B,Adobe_C7UZ6B_Suite,2023-02-07,C8325,5,81.17,Third-party Retailer,Asia,24.49,18,3,11,1,7,41,Social Media,5,Cryptocurrency,Other,19,6
SN-W7TKN18,6JJNTV,Adobe_6JJNTV_Suite,2023-01-11,C9792,5,132.94,Unknown Vendor,South America,23.33,12,3,12,9,8,267,Social Media,1,Cryptocurrency,Product malfunction,17,6
SN-IHYALNWJ,Adobe_Prod_825_Version_6,Adobe_Adobe_Prod_825_Version_6_Suite,2023-05-21,C1356,9,327.26,Direct Sales,Europe,9.48,8,5,3,1,5,681,Email Marketing,9,Credit Card,Found cheaper,1,12
SNY4TNQOP60,7AQWM9,Adobe_7AQWM9_Suite,2023-04-11,C8034,9,93.97,Unknown Vendor,Europe,28.53,10,2,17,8,13,302,Social Media,2,Cryptocurrency,Other,13,6
SN-GL8EMB8O,Adobe_Prod_565_Version_5,Adobe_Adobe_Prod_565_Version_5_Suite,2023-12-31,C5213,9,271.32,Authorized Retailer,South America,13.19,10,5,3,8,4,723,Direct Search,7,Credit Card,Other,8,24
SN-46NSNH4,5YH162,Adobe_5YH162_Suite,2023-06-05,C1667,2,95.86,Third-party Retailer,South America,29.18,10,2,10,8,7,270,Word of Mouth,3,Cryptocurrency,Product malfunction,12,6
SN-CGHVD5QW,Adobe_Prod_752_Version_1,Adobe_Adobe_Prod_752_Version_1_Suite,2023-07-27,C3937,9,440.2,Direct Sales,Asia,5.23,5,5,3,2,7,625,Email Marketing,10,PayPal,Found cheaper,7,24
Sn-OPH8BMCV,KU63TQ,Adobe_KU63TQ_Suite,2023-09-22,C3292,4,119.54,Unknown Vendor,Europe,26.34,20,2,12,9,13,175,Social Media,2,Cryptocurrency,Not as described,12,6
SN-KJA5TM9G,Adobe_Prod_370_Version_2,Adobe_Adobe_Prod_370_Version_2_Suite,2023-06-03,C5199,10,299.86,Third-party Retailer,South America,7.73,3,5,1,3,5,571,Direct Search,7,PayPal,Other,10,12
SN-MESEPXL,TD9LWO,Adobe_TD9LWO_Suite,2023-01-06,C4678,6,86.66,Unknown Vendor,Europe,26.98,17,3,16,9,11,346,Social Media,2,Cryptocurrency,Other,13,6
SN-AEIHRXEL,Adobe_Prod_62_Version_1,Adobe_Adobe_Prod_62_Version_1_Suite,2023-08-16,C6237,4,389.92,Direct Sales,Asia,5.19,10,5,2,2,1,608,Direct Search,7,PayPal,Other,7,24
SN-L16MB1LF,Adobe_Prod_502_Version_7,Adobe_Adobe_Prod_502_Version_7_Suite,2023-10-22,C6980,10,356.13,Authorized Retailer,North America,7.4,8,4,4,8,5,519,Email Marketing,7,PayPal,Other,10,12
SN-YSG04AZ7,Adobe_Prod_309_Version_5,Adobe_Adobe_Prod_309_Version_5_Suite,2023-08-11,C6674,9,482.89,Authorized Retailer,North America,6.57,9,5,4,3,7,715,Email Marketing,8,PayPal,Other,9,24
SN954CLUNQL,IETLWR,Adobe_IETLWR_Suite,2023-03-23,C3239,5,134.14,Unknown Vendor,Europe,25.79,16,3,16,2,8,117,Social Media,3,Cryptocurrency,Not as described,15,6
SN-LRPVS04,BBSBZI,Adobe_BBSBZI_Suite,2023-07-30,C1407,3,68.36,Third-party Retailer,South America,23.85,20,3,18,8,9,339,Social Media,3,Cryptocurrency,Other,18,6
SN-MHGTR1W9,Adobe_Prod_805_Version_10,Adobe_Adobe_Prod_805_Version_10_Suite,2023-12-31,C2688,2,297.43,Authorized Retailer,South America,14.88,4,4,3,9,1,476,Direct Search,6,PayPal,Found cheaper,9,12
SN-8M6Y5KKN,Adobe_Prod_954_Version_5,Adobe_Adobe_Prod_954_Version_5_Suite,2023-09-13,C5275,5,205.18,Direct Sales,South America,12.32,7,5,1,1,7,724,Direct Search,6,Credit Card,Other,10,12
Sn-DZGXOJLS,SOKRF7,Adobe_SOKRF7_Suite,2023-07-03,C6088,5,54.49,Unknown Vendor,Europe,22.84,20,3,15,1,10,267,Social Media,5,Cryptocurrency,Product malfunction,11,6
SNZ4UVFOTBH,9LFEI8,Adobe_9LFEI8_Suite,2023-01-29,C6926,3,109.54,Third-party Retailer,Europe,20.07,11,3,15,1,4,87,Word of Mouth,2,Cryptocurrency,Other,15,6
SN-R6N3M6KT,Adobe_Prod_72_Version_8,Adobe_Adobe_Prod_72_Version_8_Suite,2023-07-21,C1193,9,273.2,Direct Sales,South America,5.47,3,4,3,8,2,459,Direct Search,7,PayPal,Other,6,12
SNGV3ACU4BP,7WSKOA,Adobe_7WSKOA_Suite,2023-09-22,C3214,5,63.68,Third-party Retailer,Europe,29.79,15,1,19,1,2,106,Social Media,4,Cryptocurrency,Product malfunction,20,6
SN-5DTVBJI7,Adobe_Prod_789_Version_10,Adobe_Adobe_Prod_789_Version_10_Suite,2023-01-05,C1911,4,400.27,Authorized Retailer,South America,7.27,8,5,1,1,3,712,Email Marketing,8,Credit Card,Found cheaper,4,24
SNTYXQKHLIK,CC6HRQ,Adobe_CC6HRQ_Suite,2023-11-05,C7284,1,68.69,Unknown Vendor,North America,29.83,15,1,13,9,12,248,Word of Mouth,3,Cryptocurrency,Not as described,15,6
